date,day,month,year,time,hour,minute,second,gw-level
27.12.1954,27,12,1954,07:01:00,07,01,00,115.78
25.04.1955,25,04,1955,07:01:00,07,01,00,115.97
02.04.1956,02,04,1956,07:01:00,07,01,00,115.97
26.12.1966,26,12,1966,07:01:00,07,01,00,116.0
16.01.1967,16,01,1967,07:01:00,07,01,00,116.13
05.02.1968,05,02,1968,07:01:00,07,01,00,115.66
17.03.1969,17,03,1969,07:01:00,07,01,00,116.37
16.03.1970,16,03,1970,07:01:00,07,01,00,116.21
29.03.1971,29,03,1971,07:01:00,07,01,00,115.33
04.04.1972,04,04,1972,07:01:00,07,01,00,115.39
30.04.1973,30,04,1973,07:01:00,07,01,00,114.99
25.02.1974,25,02,1974,07:01:00,07,01,00,115.02
21.07.1975,21,07,1975,07:01:00,07,01,00,115.38
01.03.1976,01,03,1976,07:01:00,07,01,00,115.45
07.03.1977,07,03,1977,07:01:00,07,01,00,115.68
29.05.1978,29,05,1978,07:01:00,07,01,00,114.87
14.05.1979,14,05,1979,07:01:00,07,01,00,115.26
25.02.1980,25,02,1980,07:01:00,07,01,00,115.18
12.01.1981,12,01,1981,07:01:00,07,01,00,115.24
31.12.1982,31,12,1982,23:59:55,23,59,55,115.4
07.03.1983,07,03,1983,07:01:00,07,01,00,115.77
28.05.1984,28,05,1984,07:01:00,07,01,00,114.94
08.04.1985,08,04,1985,07:01:00,07,01,00,115.17
24.03.1986,24,03,1986,07:01:00,07,01,00,115.69
02.03.1987,02,03,1987,07:01:00,07,01,00,115.45
04.04.1988,04,04,1988,07:01:00,07,01,00,115.34
27.02.1989,27,02,1989,07:01:00,07,01,00,114.93
30.04.1990,30,04,1990,07:01:00,07,01,00,114.45
24.06.1991,24,06,1991,07:01:00,07,01,00,114.59
13.04.1992,13,04,1992,07:01:00,07,01,00,115.09
29.03.1993,29,03,1993,07:01:00,07,01,00,114.79
25.04.1994,25,04,1994,07:01:00,07,01,00,115.22
12.06.1995,12,06,1995,07:01:00,07,01,00,115.32
08.04.1996,08,04,1996,07:01:00,07,01,00,116.19
21.07.1997,21,07,1997,07:30:00,07,30,00,115.63
28.12.1998,28,12,1998,07:30:00,07,30,00,115.15
08.03.1999,08,03,1999,09:00:00,09,00,00,115.44
10.04.2000,10,04,2000,09:00:00,09,00,00,115.71
23.04.2001,23,04,2001,09:00:00,09,00,00,114.73
25.04.2002,25,04,2002,09:00:00,09,00,00,114.64
10.02.2003,10,02,2003,09:00:00,09,00,00,115.03
26.04.2004,26,04,2004,09:00:00,09,00,00,114.94
31.12.2005,31,12,2005,23:59:55,23,59,55,114.99
16.01.2006,16,01,2006,09:00:00,09,00,00,115.56
24.12.2007,24,12,2007,09:00:00,09,00,00,115.35
04.02.2008,04,02,2008,09:00:00,09,00,00,115.33
16.03.2009,16,03,2009,09:00:00,09,00,00,115.81
27.12.2010,27,12,2010,09:00:00,09,00,00,115.7
01.01.2011,01,01,2011,00:00:05,00,00,05,115.69
12.03.2012,12,03,2012,09:00:00,09,00,00,114.77
08.04.2013,08,04,2013,09:00:00,09,00,00,116.13
22.09.2014,22,09,2014,10:10:00,10,10,00,116.01
02.03.2015,02,03,2015,10:10:00,10,10,00,115.89
07.03.2016,07,03,2016,10:10:00,10,10,00,115.41
03.04.2017,03,04,2017,10:10:00,10,10,00,114.86
09.04.2018,09,04,2018,10:10:00,10,10,00,115.31
03.06.2019,03,06,2019,10:00:00,10,00,00,115.31
31.12.2020,31,12,2020,23:59:55,23,59,55,114.94
22.02.2021,22,02,2021,10:10:00,10,10,00,115.26
