date,day,month,year,time,hour,minute,second,gw-level
05.08.1963,05,08,1963,07:01:00,07,01,00,153.02
24.08.1964,24,08,1964,07:01:00,07,01,00,152.95
06.09.1965,06,09,1965,07:01:00,07,01,00,153.09
11.07.1966,11,07,1966,07:01:00,07,01,00,153.11
24.07.1967,24,07,1967,07:01:00,07,01,00,152.93
08.07.1968,08,07,1968,07:01:00,07,01,00,152.86
14.07.1969,14,07,1969,07:01:00,07,01,00,153.0
14.07.1970,14,07,1970,07:01:00,07,01,00,152.81
11.08.1971,11,08,1971,07:01:00,07,01,00,152.85
28.09.1972,28,09,1972,07:01:00,07,01,00,152.91
21.08.1973,21,08,1973,07:01:00,07,01,00,152.87
16.09.1974,16,09,1974,07:01:00,07,01,00,152.47
16.06.1975,16,06,1975,07:01:00,07,01,00,152.64
24.05.1976,24,05,1976,07:01:00,07,01,00,152.58
12.09.1977,12,09,1977,07:01:00,07,01,00,152.54
18.09.1978,18,09,1978,07:01:00,07,01,00,152.49
11.06.1979,11,06,1979,07:01:00,07,01,00,152.57
25.08.1980,25,08,1980,07:01:00,07,01,00,152.58
10.08.1981,10,08,1981,07:01:00,07,01,00,152.38
23.08.1982,23,08,1982,07:01:00,07,01,00,152.16
29.08.1983,29,08,1983,07:01:00,07,01,00,152.2
10.09.1984,10,09,1984,07:01:00,07,01,00,152.24
14.10.1985,14,10,1985,07:01:00,07,01,00,152.45
11.08.1986,11,08,1986,07:01:00,07,01,00,152.43
20.07.1987,20,07,1987,07:01:00,07,01,00,152.36
01.08.1988,01,08,1988,07:01:00,07,01,00,152.39
06.02.1989,06,02,1989,07:01:00,07,01,00,152.54
03.09.1990,03,09,1990,07:01:00,07,01,00,152.23
07.10.1991,07,10,1991,07:01:00,07,01,00,152.34
09.09.1992,09,09,1992,07:01:00,07,01,00,152.19
12.07.1993,12,07,1993,07:01:00,07,01,00,152.23
25.07.1994,25,07,1994,07:01:00,07,01,00,152.38
23.01.1995,23,01,1995,07:01:00,07,01,00,152.84
12.08.1996,12,08,1996,07:01:00,07,01,00,152.85
06.10.1997,06,10,1997,07:00:00,07,00,00,152.32
03.08.1998,03,08,1998,07:00:00,07,00,00,151.95
06.04.1999,06,04,1999,07:00:00,07,00,00,152.98
09.07.2001,09,07,2001,08:00:00,08,00,00,152.1
15.07.2002,15,07,2002,08:00:00,08,00,00,152.18
22.09.2003,22,09,2003,08:00:00,08,00,00,152.01
20.09.2004,20,09,2004,08:00:00,08,00,00,152.0
14.11.2005,14,11,2005,08:00:00,08,00,00,152.08
23.10.2006,23,10,2006,08:00:00,08,00,00,152.26
23.07.2007,23,07,2007,08:00:00,08,00,00,152.18
15.09.2008,15,09,2008,08:00:00,08,00,00,152.32
05.10.2009,05,10,2009,08:00:00,08,00,00,152.16
12.04.2010,12,04,2010,08:00:00,08,00,00,152.49
28.11.2011,28,11,2011,08:30:00,08,30,00,152.24
27.08.2012,27,08,2012,09:30:00,09,30,00,152.33
05.08.2013,05,08,2013,09:30:00,09,30,00,152.17
21.07.2014,21,07,2014,09:30:00,09,30,00,152.32
27.07.2015,27,07,2015,09:30:00,09,30,00,152.12
20.08.2018,20,08,2018,09:30:00,09,30,00,152.18
05.08.2019,05,08,2019,09:30:00,09,30,00,152.14
11.05.2020,11,05,2020,09:30:00,09,30,00,152.22
05.07.2021,05,07,2021,09:30:00,09,30,00,152.15
