x,y,dbmsnr,hzbnr01,region,land_height,mp_height,bottom_line,t_measuring_depth,date,day,month,year,gw-level,yr_max,yr_max_dist,yr_min,yr_min_dist,yr_avg,yr_avg_dist,yr_avg_abs(dist),temp
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1953,1,11,1953,114.88,114.91,0.03,114.88,0.0,0.03,114.85,114.85,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1953,1,12,1953,114.91,114.91,0.0,114.88,0.03,0.03,114.88,114.88,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1954,1,1,1954,114.91,115.78,0.87,114.82,0.09,0.96,113.95,113.95,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1954,1,2,1954,114.99,115.78,0.79,114.82,0.17,0.96,114.03,114.03,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1954,1,3,1954,115.06,115.78,0.72,114.82,0.24,0.96,114.10000000000001,114.10000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1954,1,4,1954,115.22,115.78,0.56,114.82,0.4,0.96,114.26,114.26,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1954,1,5,1954,115.39,115.78,0.39,114.82,0.57,0.96,114.43,114.43,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1954,1,6,1954,115.26,115.78,0.52,114.82,0.44,0.96,114.30000000000001,114.30000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1954,1,7,1954,115.17,115.78,0.61,114.82,0.35,0.96,114.21000000000001,114.21000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1954,1,8,1954,114.94,115.78,0.84,114.82,0.12,0.96,113.98,113.98,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1954,1,9,1954,114.84,115.78,0.94,114.82,0.02,0.96,113.88000000000001,113.88000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1954,1,10,1954,115.28,115.78,0.5,114.82,0.46,0.96,114.32000000000001,114.32000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1954,1,11,1954,115.15,115.78,0.63,114.82,0.33,0.96,114.19000000000001,114.19000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1954,1,12,1954,115.54,115.78,0.24,114.82,0.72,0.96,114.58000000000001,114.58000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1955,1,1,1955,115.77,115.97,0.2,115.18,0.59,0.79,114.97999999999999,114.97999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1955,1,2,1955,115.7,115.97,0.27,115.18,0.52,0.79,114.91,114.91,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1955,1,3,1955,115.85,115.97,0.12,115.18,0.67,0.79,115.05999999999999,115.05999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1955,1,4,1955,115.94,115.97,0.03,115.18,0.76,0.79,115.14999999999999,115.14999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1955,1,5,1955,115.73,115.97,0.24,115.18,0.55,0.79,114.94,114.94,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1955,1,6,1955,115.43,115.97,0.54,115.18,0.25,0.79,114.64,114.64,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1955,1,7,1955,115.3,115.97,0.67,115.18,0.12,0.79,114.50999999999999,114.50999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1955,1,8,1955,115.28,115.97,0.69,115.18,0.1,0.79,114.49,114.49,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1955,1,9,1955,115.23,115.97,0.74,115.18,0.05,0.79,114.44,114.44,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1955,1,10,1955,115.24,115.97,0.73,115.18,0.06,0.79,114.44999999999999,114.44999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1955,1,11,1955,115.45,115.97,0.52,115.18,0.27,0.79,114.66,114.66,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1955,1,12,1955,115.4,115.97,0.57,115.18,0.22,0.79,114.61,114.61,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1956,1,1,1956,115.42,115.97,0.55,114.86,0.56,1.11,114.31,114.31,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1956,1,2,1956,115.33,115.97,0.64,114.86,0.47,1.11,114.22,114.22,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1956,1,3,1956,115.91,115.97,0.06,114.86,1.05,1.11,114.8,114.8,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1956,1,4,1956,115.88,115.97,0.09,114.86,1.02,1.11,114.77,114.77,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1956,1,5,1956,115.72,115.97,0.25,114.86,0.86,1.11,114.61,114.61,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1956,1,6,1956,115.52,115.97,0.45,114.86,0.66,1.11,114.41,114.41,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1956,1,7,1956,115.29,115.97,0.68,114.86,0.43,1.11,114.18,114.18,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1956,1,8,1956,115.09,115.97,0.88,114.86,0.23,1.11,113.98,113.98,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1956,1,9,1956,114.96,115.97,1.01,114.86,0.1,1.11,113.85,113.85,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1956,1,10,1956,114.9,115.97,1.07,114.86,0.04,1.11,113.79,113.79,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1956,1,11,1956,115.07,115.97,0.9,114.86,0.21,1.11,113.96,113.96,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1956,1,12,1956,115.24,115.97,0.73,114.86,0.38,1.11,114.13,114.13,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1957,1,1,1957,115.41,115.79,0.38,115.41,0.0,0.38,115.03,115.03,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1957,1,2,1957,115.75,115.79,0.04,115.41,0.34,0.38,115.37,115.37,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1957,1,3,1957,115.79,115.79,0.0,115.41,0.38,0.38,115.41000000000001,115.41000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1957,1,4,1957,115.73,115.79,0.06,115.41,0.32,0.38,115.35000000000001,115.35000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1957,1,5,1957,115.55,115.79,0.24,115.41,0.14,0.38,115.17,115.17,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1957,1,6,1957,115.43,115.79,0.36,115.41,0.02,0.38,115.05000000000001,115.05000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1966,1,8,1966,115.45,116.0,0.55,115.43,0.02,0.57,114.88000000000001,114.88000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1966,1,9,1966,115.43,116.0,0.57,115.43,0.0,0.57,114.86000000000001,114.86000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1966,1,12,1966,115.94,116.0,0.06,115.43,0.51,0.57,115.37,115.37,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1967,1,1,1967,116.05,116.13,0.08,114.9,1.15,1.23,114.82,114.82,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1967,1,2,1967,116.0,116.13,0.13,114.9,1.1,1.23,114.77,114.77,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1967,1,3,1967,115.91,116.13,0.22,114.9,1.01,1.23,114.67999999999999,114.67999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1967,1,4,1967,115.88,116.13,0.25,114.9,0.98,1.23,114.64999999999999,114.64999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1967,1,5,1967,115.65,116.13,0.48,114.9,0.75,1.23,114.42,114.42,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1967,1,6,1967,115.68,116.13,0.45,114.9,0.78,1.23,114.45,114.45,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1967,1,7,1967,115.4,116.13,0.73,114.9,0.5,1.23,114.17,114.17,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1967,1,8,1967,115.11,116.13,1.02,114.9,0.21,1.23,113.88,113.88,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1967,1,9,1967,114.96,116.13,1.17,114.9,0.06,1.23,113.72999999999999,113.72999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1967,1,10,1967,115.06,116.13,1.07,114.9,0.16,1.23,113.83,113.83,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1967,1,11,1967,115.07,116.13,1.06,114.9,0.17,1.23,113.83999999999999,113.83999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1967,1,12,1967,115.07,116.13,1.06,114.9,0.17,1.23,113.83999999999999,113.83999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1968,1,1,1968,115.36,115.66,0.3,114.65,0.71,1.01,114.35,114.35,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1968,1,2,1968,115.63,115.66,0.03,114.65,0.98,1.01,114.61999999999999,114.61999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1968,1,3,1968,115.5,115.66,0.16,114.65,0.85,1.01,114.49,114.49,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1968,1,4,1968,115.36,115.66,0.3,114.65,0.71,1.01,114.35,114.35,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1968,1,5,1968,115.12,115.66,0.54,114.65,0.47,1.01,114.11,114.11,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1968,1,6,1968,114.9,115.66,0.76,114.65,0.25,1.01,113.89,113.89,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1968,1,7,1968,114.73,115.66,0.93,114.65,0.08,1.01,113.72,113.72,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1968,1,8,1968,114.78,115.66,0.88,114.65,0.13,1.01,113.77,113.77,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1968,1,9,1968,114.79,115.66,0.87,114.65,0.14,1.01,113.78,113.78,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1968,1,10,1968,114.8,115.66,0.86,114.65,0.15,1.01,113.78999999999999,113.78999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1968,1,11,1968,114.85,115.66,0.81,114.65,0.2,1.01,113.83999999999999,113.83999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1968,1,12,1968,114.97,115.66,0.69,114.65,0.32,1.01,113.96,113.96,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1969,1,1,1969,115.19,116.37,1.18,114.73,0.46,1.64,113.55,113.55,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1969,1,2,1969,115.8,116.37,0.57,114.73,1.07,1.64,114.16,114.16,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1969,1,3,1969,116.28,116.37,0.09,114.73,1.55,1.64,114.64,114.64,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1969,1,4,1969,116.07,116.37,0.3,114.73,1.34,1.64,114.42999999999999,114.42999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1969,1,5,1969,115.66,116.37,0.71,114.73,0.93,1.64,114.02,114.02,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1969,1,6,1969,115.48,116.37,0.89,114.73,0.75,1.64,113.84,113.84,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1969,1,7,1969,115.26,116.37,1.11,114.73,0.53,1.64,113.62,113.62,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1969,1,8,1969,114.9,116.37,1.47,114.73,0.17,1.64,113.26,113.26,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1969,1,9,1969,114.83,116.37,1.54,114.73,0.1,1.64,113.19,113.19,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1969,1,10,1969,114.76,116.37,1.61,114.73,0.03,1.64,113.12,113.12,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1969,1,11,1969,114.77,116.37,1.6,114.73,0.04,1.64,113.13,113.13,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1969,1,12,1969,114.83,116.37,1.54,114.73,0.1,1.64,113.19,113.19,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1970,1,1,1970,114.98,116.21,1.23,114.66,0.32,1.55,113.43,113.43,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1970,1,2,1970,115.4,116.21,0.81,114.66,0.74,1.55,113.85000000000001,113.85000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1970,1,3,1970,116.02,116.21,0.19,114.66,1.36,1.55,114.47,114.47,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1970,1,4,1970,116.03,116.21,0.18,114.66,1.37,1.55,114.48,114.48,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1970,1,5,1970,115.7,116.21,0.51,114.66,1.04,1.55,114.15,114.15,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1970,1,6,1970,115.4,116.21,0.81,114.66,0.74,1.55,113.85000000000001,113.85000000000001,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1970,1,7,1970,115.08,116.21,1.13,114.66,0.42,1.55,113.53,113.53,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1970,1,8,1970,114.99,116.21,1.22,114.66,0.33,1.55,113.44,113.44,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1970,1,9,1970,114.75,116.21,1.46,114.66,0.09,1.55,113.2,113.2,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1970,1,10,1970,114.7,116.21,1.51,114.66,0.04,1.55,113.15,113.15,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1970,1,11,1970,114.84,116.21,1.37,114.66,0.18,1.55,113.29,113.29,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1970,1,12,1970,115.0,116.21,1.21,114.66,0.34,1.55,113.45,113.45,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1971,1,1,1971,115.04,115.33,0.29,114.22,0.82,1.11,113.93,113.93,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1971,1,2,1971,115.19,115.33,0.14,114.22,0.97,1.11,114.08,114.08,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1971,1,3,1971,115.26,115.33,0.07,114.22,1.04,1.11,114.15,114.15,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1971,1,4,1971,115.32,115.33,0.01,114.22,1.1,1.11,114.21,114.21,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1971,1,5,1971,115.15,115.33,0.18,114.22,0.93,1.11,114.04,114.04,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1971,1,6,1971,114.97,115.33,0.36,114.22,0.75,1.11,113.86,113.86,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1971,1,7,1971,114.72,115.33,0.61,114.22,0.5,1.11,113.61,113.61,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1971,1,8,1971,114.48,115.33,0.85,114.22,0.26,1.11,113.37,113.37,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1971,1,9,1971,114.27,115.33,1.06,114.22,0.05,1.11,113.16,113.16,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1971,1,10,1971,114.24,115.33,1.09,114.22,0.02,1.11,113.13,113.13,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1971,1,11,1971,114.29,115.33,1.04,114.22,0.07,1.11,113.18,113.18,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1971,1,12,1971,114.39,115.33,0.94,114.22,0.17,1.11,113.28,113.28,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1972,1,1,1972,114.55,115.39,0.84,114.46,0.09,0.93,113.61999999999999,113.61999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1972,1,2,1972,114.76,115.39,0.63,114.46,0.3,0.93,113.83,113.83,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1972,1,3,1972,114.89,115.39,0.5,114.46,0.43,0.93,113.96,113.96,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1972,1,4,1972,115.29,115.39,0.1,114.46,0.83,0.93,114.36,114.36,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1972,1,5,1972,115.16,115.39,0.23,114.46,0.7,0.93,114.22999999999999,114.22999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1972,1,6,1972,115.21,115.39,0.18,114.46,0.75,0.93,114.27999999999999,114.27999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1972,1,7,1972,115.04,115.39,0.35,114.46,0.58,0.93,114.11,114.11,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1972,1,8,1972,115.11,115.39,0.28,114.46,0.65,0.93,114.17999999999999,114.17999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1972,1,9,1972,114.87,115.39,0.52,114.46,0.41,0.93,113.94,113.94,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1972,1,10,1972,114.76,115.39,0.63,114.46,0.3,0.93,113.83,113.83,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1972,1,11,1972,114.79,115.39,0.6,114.46,0.33,0.93,113.86,113.86,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1972,1,12,1972,114.81,115.39,0.58,114.46,0.35,0.93,113.88,113.88,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1973,1,1,1973,114.76,114.99,0.23,113.99,0.77,1.0,113.76,113.76,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1973,1,2,1973,114.86,114.99,0.13,113.99,0.87,1.0,113.86,113.86,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1973,1,3,1973,114.92,114.99,0.07,113.99,0.93,1.0,113.92,113.92,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1973,1,4,1973,114.94,114.99,0.05,113.99,0.95,1.0,113.94,113.94,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1973,1,5,1973,114.89,114.99,0.1,113.99,0.9,1.0,113.89,113.89,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1973,1,6,1973,114.66,114.99,0.33,113.99,0.67,1.0,113.66,113.66,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1973,1,7,1973,114.45,114.99,0.54,113.99,0.46,1.0,113.45,113.45,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1973,1,8,1973,114.18,114.99,0.81,113.99,0.19,1.0,113.18,113.18,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1973,1,9,1973,114.04,114.99,0.95,113.99,0.05,1.0,113.04,113.04,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1973,1,10,1973,114.18,114.99,0.81,113.99,0.19,1.0,113.18,113.18,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1973,1,11,1973,114.27,114.99,0.72,113.99,0.28,1.0,113.27,113.27,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1973,1,12,1973,114.35,114.99,0.64,113.99,0.36,1.0,113.35,113.35,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1974,1,1,1974,114.54,115.02,0.48,114.09,0.45,0.93,113.61,113.61,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1974,1,2,1974,114.94,115.02,0.08,114.09,0.85,0.93,114.00999999999999,114.00999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1974,1,3,1974,114.99,115.02,0.03,114.09,0.9,0.93,114.05999999999999,114.05999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1974,1,4,1974,114.86,115.02,0.16,114.09,0.77,0.93,113.92999999999999,113.92999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1974,1,5,1974,114.72,115.02,0.3,114.09,0.63,0.93,113.78999999999999,113.78999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1974,1,6,1974,114.6,115.02,0.42,114.09,0.51,0.93,113.66999999999999,113.66999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1974,1,7,1974,114.48,115.02,0.54,114.09,0.39,0.93,113.55,113.55,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.08.1974,1,8,1974,114.3,115.02,0.72,114.09,0.21,0.93,113.36999999999999,113.36999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.09.1974,1,9,1974,114.12,115.02,0.9,114.09,0.03,0.93,113.19,113.19,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.10.1974,1,10,1974,114.2,115.02,0.82,114.09,0.11,0.93,113.27,113.27,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.11.1974,1,11,1974,114.46,115.02,0.56,114.09,0.37,0.93,113.52999999999999,113.52999999999999,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.12.1974,1,12,1974,114.76,115.02,0.26,114.09,0.67,0.93,113.83,113.83,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.01.1975,1,1,1975,114.95,115.38,0.43,114.68,0.27,0.7,114.25,114.25,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.02.1975,1,2,1975,114.92,115.38,0.46,114.68,0.24,0.7,114.22,114.22,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.03.1975,1,3,1975,114.9,115.38,0.48,114.68,0.22,0.7,114.2,114.2,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.04.1975,1,4,1975,114.94,115.38,0.44,114.68,0.26,0.7,114.24,114.24,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.05.1975,1,5,1975,114.91,115.38,0.47,114.68,0.23,0.7,114.21,114.21,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.06.1975,1,6,1975,114.77,115.38,0.61,114.68,0.09,0.7,114.07,114.07,
677201.49,437179.1,1002003,305524,Burgenland,119.48,119.73,110.59,,01.07.1975,1,7,1975,115.23,115.38,0.15,114.68,0.55,0.7,114.53,114.53,
